1,13/03/1994,25,45,60,76,79
2,17/03/1994,13,30,58,63,64
3,20/03/1994,05,15,32,33,48
4,24/03/1994,27,57,60,61,77
5,27/03/1994,19,44,53,54,71
6,03/04/1994,04,45,54,65,67
7,07/04/1994,09,21,37,42,68
8,10/04/1994,05,16,26,28,62
9,14/04/1994,04,15,44,64,73
10,17/04/1994,20,32,49,54,62
11,24/04/1994,17,33,52,60,76
12,28/04/1994,01,28,56,65,79
13,01/05/1994,13,33,38,39,72
14,05/05/1994,44,52,60,64,68
15,08/05/1994,02,25,54,63,66
16,12/05/1994,11,24,63,64,69
17,15/05/1994,01,14,26,34,72
18,19/05/1994,06,29,40,63,72
19,22/05/1994,12,21,42,60,66
20,26/05/1994,13,16,31,39,70
21,29/05/1994,05,15,38,48,77
22,05/06/1994,07,09,11,25,75
23,09/06/1994,01,15,63,72,77
24,12/06/1994,09,44,57,67,68
25,16/06/1994,02,29,46,69,76
26,19/06/1994,10,15,22,55,79
27,23/06/1994,05,36,39,70,78
28,26/06/1994,08,26,28,29,30
29,03/07/1994,20,23,31,35,76
30,07/07/1994,12,13,14,56,60
31,10/07/1994,43,51,54,69,73
32,14/07/1994,09,23,31,60,80
33,18/07/1994,21,31,44,65,74
34,21/07/1994,17,45,64,67,69
35,24/07/1994,44,52,54,56,60
36,28/07/1994,42,56,62,65,79
37,31/07/1994,09,26,31,36,65
38,04/08/1994,11,12,57,59,69
39,07/08/1994,05,07,21,28,70
40,11/08/1994,02,18,31,38,49
41,14/08/1994,05,14,31,41,49
42,18/08/1994,15,33,39,76,78
43,21/08/1994,05,18,21,41,71
44,25/08/1994,02,07,57,59,76
45,28/08/1994,02,03,27,64,65
46,01/09/1994,30,49,72,78,80
47,04/09/1994,10,18,22,31,73
48,11/09/1994,20,39,72,73,76
49,15/09/1994,10,19,39,52,66
50,18/09/1994,04,10,15,42,45
51,22/09/1994,02,20,26,42,79
52,25/09/1994,06,39,41,61,64
53,29/09/1994,40,42,48,64,69
54,02/10/1994,13,21,32,33,66
55,09/10/1994,12,14,60,66,68
56,16/10/1994,05,18,24,43,48
57,17/10/1994,31,49,52,63,71
58,23/10/1994,34,41,50,67,77
59,27/10/1994,20,35,37,42,71
60,30/10/1994,19,25,32,68,71
61,06/11/1994,27,54,63,71,77
62,10/11/1994,03,12,24,36,40
63,13/11/1994,11,40,50,74,78
64,20/11/1994,25,43,52,59,75
65,24/11/1994,03,25,60,62,75
66,27/11/1994,66,73,75,76,79
67,01/12/1994,05,23,36,67,70
68,04/12/1994,07,52,68,69,76
69,08/12/1994,16,61,65,72,78
70,11/12/1994,05,25,52,57,62
71,15/12/1994,27,55,66,73,75
72,18/12/1994,12,23,39,54,72
73,26/12/1994,06,17,49,65,70
74,02/01/1995,41,47,49,70,74
75,05/01/1995,04,27,46,53,55
76,08/01/1995,03,23,58,62,74
77,12/01/1995,06,09,27,43,65
78,15/01/1995,02,19,50,59,69
79,19/01/1995,04,18,55,57,74
80,22/01/1995,35,42,55,60,78
81,26/01/1995,13,31,45,56,63
82,29/01/1995,13,34,55,64,80
