1,11/03/1996,41,05,04,52,30,33
2,18/03/1996,09,39,37,49,43,41
3,25/03/1996,36,30,10,11,29,47
4,01/04/1996,06,59,42,27,01,05
5,08/04/1996,01,19,46,06,16,02
6,15/04/1996,19,40,07,13,22,47
7,22/04/1996,56,38,21,20,03,05
8,29/04/1996,53,17,38,04,47,37
9,06/05/1996,55,43,56,54,08,60
10,13/05/1996,25,04,18,57,21,38
11,20/05/1996,25,15,58,37,59,38
12,27/05/1996,20,27,43,16,19,04
13,03/06/1996,47,32,50,54,18,56
14,10/06/1996,16,02,27,47,23,53
15,17/06/1996,60,12,33,52,35,51
16,24/06/1996,60,58,49,32,20,34
17,01/07/1996,10,20,06,19,51,13
18,08/07/1996,37,36,56,27,42,23
19,15/07/1996,05,25,12,10,60,24
20,22/07/1996,25,28,30,33,51,11
21,29/07/1996,49,46,06,53,33,36
22,05/08/1996,09,38,56,01,31,46
23,12/08/1996,17,52,51,59,39,37
24,19/08/1996,01,08,14,28,33,43
25,25/08/1996,56,50,55,54,24,43
26,01/09/1996,50,53,57,10,58,22
27,08/09/1996,44,33,13,51,17,20
28,15/09/1996,60,06,22,03,24,54
29,22/09/1996,14,56,58,08,43,03
30,29/09/1996,38,50,07,29,15,14
31,06/10/1996,56,19,28,48,17,45
32,13/10/1996,43,33,14,36,05,44
33,20/10/1996,05,33,49,17,42,39
34,27/10/1996,15,13,57,53,40,17
35,03/11/1996,21,57,16,23,54,04
36,10/11/1996,13,03,51,17,29,25
37,17/11/1996,22,06,07,52,38,60
38,24/11/1996,55,42,10,43,45,54
39,01/12/1996,16,37,45,52,56,12
40,08/12/1996,03,12,46,05,47,08
41,15/12/1996,38,26,35,39,12,47
42,22/12/1996,24,36,19,33,07,11
43,29/12/1996,02,58,25,06,26,17
44,05/01/1997,47,38,18,14,29,44
45,12/01/1997,30,07,37,55,44,53
46,19/01/1997,32,46,01,60,24,23
47,26/01/1997,35,17,03,48,25,56
48,02/02/1997,47,05,34,28,02,50
49,09/02/1997,33,07,43,35,13,55
50,16/02/1997,57,44,21,16,58,06
51,23/02/1997,23,24,42,25,17,47
52,02/03/1997,58,15,59,30,38,46
53,09/03/1997,42,13,03,46,38,16
54,16/03/1997,05,21,09,56,18,36
55,23/03/1997,29,02,14,38,23,52
56,30/03/1997,51,35,59,07,20,02
57,06/04/1997,27,17,16,34,07,59
58,13/04/1997,30,49,27,37,12,44
59,20/04/1997,28,13,34,02,08,54
60,27/04/1997,38,14,21,15,03,20
61,04/05/1997,59,08,18,29,42,44
62,11/05/1997,52,13,06,24,08,31
63,18/05/1997,26,09,41,49,25,40
64,25/05/1997,08,54,50,60,23,12
65,01/06/1997,20,01,05,32,25,34
66,08/06/1997,15,26,12,33,48,13
67,15/06/1997,47,14,27,52,17,12
68,22/06/1997,53,13,03,01,12,59
69,29/06/1997,56,58,34,53,25,45
70,06/07/1997,40,17,23,43,27,58
71,13/07/1997,53,16,45,43,33,27
72,20/07/1997,19,48,43,01,34,44
73,27/07/1997,57,25,45,28,51,26
74,03/08/1997,02,24,34,50,38,37
75,10/08/1997,36,49,37,35,24,21
76,17/08/1997,33,18,23,08,17,53
77,24/08/1997,29,54,40,57,49,21
78,31/08/1997,22,32,46,12,25,31
79,07/09/1997,43,25,02,13,31,17
80,14/09/1997,51,40,37,23,48,28
81,21/09/1997,47,41,10,60,54,23
82,28/09/1997,51,36,53,29,18,15
83,05/10/1997,24,16,04,42,57,15
84,12/10/1997,10,34,04,06,25,40
85,19/10/1997,47,15,30,37,45,06
86,26/10/1997,54,21,06,34,36,22
87,02/11/1997,40,04,28,32,11,05
88,09/11/1997,45,37,29,04,43,18
89,16/11/1997,59,42,34,13,44,55
90,23/11/1997,21,26,40,54,09,52
91,30/11/1997,60,04,10,35,39,02
92,07/12/1997,05,23,51,03,01,24
93,14/12/1997,22,53,31,28,02,36
94,21/12/1997,28,51,55,18,52,08
95,28/12/1997,46,60,06,40,50,45
96,04/01/1998,04,42,58,26,07,40
97,11/01/1998,56,53,11,14,05,35
98,18/01/1998,43,33,14,31,35,13
99,25/01/1998,30,33,24,11,46,60
100,01/02/1998,46,48,30,14,29,51
101,08/02/1998,39,01,37,31,29,18
102,15/02/1998,44,42,37,56,19,20
103,22/02/1998,09,01,57,07,54,49
104,01/03/1998,13,01,38,21,52,04
105,08/03/1998,03,13,31,43,46,49
106,15/03/1998,24,16,38,05,39,35
107,22/03/1998,02,24,52,04,16,51
108,29/03/1998,60,29,34,24,21,59
109,04/04/1998,54,13,44,49,48,01
110,11/04/1998,57,58,18,31,43,52
111,18/04/1998,52,32,04,33,25,22
112,25/04/1998,37,43,34,20,12,42
113,02/05/1998,34,54,26,28,55,07
114,09/05/1998,47,54,18,06,12,37
115,16/05/1998,06,14,24,20,04,38
116,23/05/1998,36,42,32,05,13,51
117,30/05/1998,53,42,27,20,33,25
118,06/06/1998,22,57,37,09,25,56
119,13/06/1998,47,21,01,50,36,38
120,20/06/1998,46,45,16,40,27,03
121,27/06/1998,53,41,44,02,29,55
122,04/07/1998,20,43,39,11,53,17
123,11/07/1998,13,42,16,32,14,26
124,18/07/1998,52,05,34,57,15,41
125,25/07/1998,56,47,25,59,53,41
126,01/08/1998,32,28,06,10,11,40
127,08/08/1998,59,21,51,54,29,50
128,15/08/1998,23,43,03,21,09,18
129,22/08/1998,46,54,10,09,01,32
130,29/08/1998,13,42,38,49,53,29
131,05/09/1998,30,09,17,27,04,44
132,12/09/1998,44,35,50,41,09,07
133,19/09/1998,19,57,06,39,34,05
134,26/09/1998,60,32,25,36,52,04
135,03/10/1998,35,40,21,59,53,22
136,10/10/1998,17,25,45,38,01,59
137,17/10/1998,26,15,16,22,19,49
138,24/10/1998,41,14,37,05,40,27
139,31/10/1998,26,27,13,42,41,03
140,07/11/1998,55,31,46,44,41,07
141,14/11/1998,10,22,42,13,41,58
142,21/11/1998,20,59,19,54,15,08
143,28/11/1998,40,18,06,20,50,53
144,05/12/1998,08,32,44,36,45,55
145,12/12/1998,43,15,41,51,16,31
146,19/12/1998,51,34,25,60,42,32
147,24/12/1998,24,06,38,23,28,16
148,31/12/1998,32,55,59,41,58,35
149,09/01/1999,11,45,48,07,28,20
150,16/01/1999,50,44,12,55,52,54
151,23/01/1999,03,43,16,56,52,20
152,30/01/1999,12,05,15,51,58,29
153,06/02/1999,47,02,31,42,45,30
154,13/02/1999,08,10,24,33,45,48
155,20/02/1999,12,32,44,43,35,30
156,27/02/1999,52,23,42,17,55,49
