1,29/09/2003,18,20,25,23,10,11,24,14,06,02,13,09,05,16,03
2,06/10/2003,23,15,05,04,12,16,20,06,11,19,24,01,09,13,07
3,13/10/2003,20,23,12,08,06,01,07,11,14,04,16,10,09,17,24
4,20/10/2003,16,05,25,24,23,08,12,02,17,18,01,10,04,19,13
5,27/10/2003,15,13,20,02,11,24,09,16,04,23,25,12,08,19,01
6,03/11/2003,23,19,01,05,07,21,16,10,15,25,06,02,12,04,17
7,10/11/2003,22,04,15,08,16,14,21,23,12,01,25,19,07,10,18
8,17/11/2003,19,16,18,09,13,08,05,25,17,10,06,15,01,22,20
9,24/11/2003,21,04,17,05,03,13,16,09,20,24,25,19,11,15,10
10,01/12/2003,24,19,08,23,06,02,20,11,09,03,04,10,05,12,14
11,08/12/2003,24,09,08,19,20,22,06,10,11,16,07,25,23,02,12
12,15/12/2003,11,05,25,01,09,08,16,04,07,24,17,02,12,14,10
13,22/12/2003,13,06,10,05,08,14,03,11,16,15,09,17,19,07,23
14,29/12/2003,14,21,13,19,20,06,09,05,07,23,18,01,15,02,25
15,05/01/2004,23,06,21,04,10,24,16,01,15,02,08,19,12,18,25
16,12/01/2004,24,17,05,08,07,12,13,02,15,10,19,25,23,21,06
17,19/01/2004,13,20,17,01,06,07,02,14,05,09,16,19,03,21,18
18,26/01/2004,02,23,10,07,11,14,17,22,15,06,24,08,19,20,18
19,02/02/2004,15,17,10,23,11,24,13,14,06,02,08,05,20,16,07
20,09/02/2004,04,09,08,24,16,20,03,17,18,19,07,06,23,14,10
21,16/02/2004,05,02,01,22,19,08,24,04,25,23,18,20,14,11,16
22,25/02/2004,13,15,05,09,07,10,01,03,22,02,25,14,06,04,12
23,01/03/2004,10,11,05,19,18,14,06,04,20,01,08,03,12,16,17
24,08/03/2004,01,19,21,14,02,23,25,05,20,11,07,10,24,17,03
25,15/03/2004,04,23,20,02,05,13,07,09,24,03,01,06,14,22,16
26,22/03/2004,19,11,07,16,08,21,05,10,20,13,23,09,17,14,22
27,29/03/2004,25,06,22,21,11,24,03,14,12,13,20,08,10,15,18
28,05/04/2004,18,21,11,07,09,03,20,16,14,12,13,17,01,19,10
29,12/04/2004,13,14,06,01,24,04,08,05,17,22,21,19,20,09,16
30,19/04/2004,22,02,01,17,08,04,19,20,11,14,06,21,07,23,03
31,26/04/2004,01,03,22,14,21,17,24,15,20,13,02,19,04,25,09
32,03/05/2004,10,14,09,16,15,07,22,06,04,02,01,17,23,11,20
33,10/05/2004,08,20,12,16,10,21,05,02,23,19,11,24,01,14,07
34,17/05/2004,07,19,16,10,23,04,18,11,08,09,20,21,01,02,15
35,24/05/2004,12,01,13,23,19,21,17,11,22,06,25,16,14,05,04
36,31/05/2004,07,23,10,20,01,21,04,08,11,19,17,22,24,14,05
37,07/06/2004,24,20,05,15,10,22,21,03,01,23,11,04,13,08,09
38,14/06/2004,14,13,08,16,01,10,03,07,15,25,09,02,24,06,22
39,21/06/2004,14,15,07,19,08,09,22,17,23,18,02,11,24,13,21
40,28/06/2004,10,17,16,12,14,24,08,07,05,20,21,01,13,02,22
41,05/07/2004,25,04,23,18,17,19,15,13,09,03,12,20,21,16,02
42,12/07/2004,01,24,12,25,04,03,21,08,11,06,15,22,14,17,05
43,19/07/2004,23,22,03,17,01,24,14,19,08,06,09,18,20,07,10
44,26/07/2004,23,21,12,19,05,04,06,13,14,10,03,18,24,11,25
45,02/08/2004,01,23,14,16,02,19,18,07,21,09,24,25,17,05,03
46,09/08/2004,06,14,08,11,24,18,19,23,02,05,04,21,10,01,25
47,16/08/2004,06,08,25,18,20,05,11,10,15,13,04,22,03,02,01
48,23/08/2004,15,06,21,20,02,17,05,23,11,07,13,16,18,19,22
49,30/08/2004,11,02,24,08,20,16,04,13,19,06,15,22,05,23,21
50,06/09/2004,02,03,07,25,21,23,10,01,13,11,20,06,12,19,09
51,13/09/2004,08,01,13,14,05,22,21,07,06,23,03,17,20,11,16
